,rank,team,rank_change,year,previous_cup_wins,won_this_year,Part,W,D,L,Gd,Pts
96,23,Cameroon,-1,1993,2,0,20.0,45.0,30.0,16.0,55.0,165.0
97,130,Guinea-Bissau,-3,1993,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
98,124,Mauritius,1,1993,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
99,124,Benin,0,1993,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
100,119,Burkina Faso,6,1993,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
101,152,Gambia,-2,1993,0,0,1.0,3.0,1.0,1.0,1.0,10.0
102,147,Libya,7,1993,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
103,144,Mauritania,2,1993,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
104,142,Cape Verde,-1,1993,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
105,136,Botswana,1,1993,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
106,115,Sudan,-11,1993,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
107,92,Ethiopia,-3,1993,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
108,83,Madagascar,2,1993,0,0,1.0,2.0,2.0,1.0,0.0,8.0
109,82,Niger,5,1993,0,0,2.0,0.0,1.0,5.0,-8.0,1.0
110,79,Sierra Leone,-7,1993,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
111,95,South Africa,-14,1993,0,0,10.0,16.0,13.0,14.0,3.0,61.0
112,96,Uganda,-8,1993,0,0,7.0,4.0,3.0,16.0,-17.0,15.0
113,97,Angola,4,1993,0,0,8.0,4.0,12.0,10.0,-9.0,24.0
114,112,Liberia,13,1993,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
115,104,Togo,-10,1993,0,0,8.0,3.0,8.0,14.0,-23.0,17.0
116,103,Mozambique,3,1993,0,0,4.0,0.0,2.0,10.0,-22.0,2.0
117,101,Congo,-6,1993,0,0,7.0,7.0,7.0,12.0,-13.0,28.0
118,99,Tanzania,8,1993,0,0,2.0,0.0,1.0,5.0,-9.0,1.0
119,98,Burundi,2,1993,0,0,1.0,0.0,0.0,3.0,-4.0,0.0
120,54,Gabon,3,1993,0,0,8.0,7.0,10.0,8.0,-3.0,31.0
121,43,Zimbabwe,-4,1993,0,0,5.0,3.0,2.0,10.0,-15.0,11.0
122,73,Mali,3,1993,0,0,12.0,19.0,19.0,16.0,0.0,76.0
123,72,Kenya,0,1993,0,0,6.0,2.0,4.0,11.0,-19.0,10.0
124,70,DR Congo,1,1993,1,0,19.0,20.0,24.0,29.0,-14.0,84.0
125,69,Malawi,1,1993,0,0,3.0,2.0,2.0,6.0,-6.0,8.0
126,63,Guinea,3,1993,0,0,13.0,13.0,17.0,17.0,-5.0,56.0
127,57,Senegal,0,1993,0,0,16.0,27.0,17.0,23.0,22.0,98.0
128,35,Tunisia,1,1993,0,0,20.0,25.0,29.0,26.0,5.0,104.0
129,152,Gambia,0,1993,0,0,1.0,3.0,1.0,1.0,1.0,10.0
130,16,Nigeria,-2,1993,1,0,19.0,53.0,22.0,22.0,46.0,181.0
131,33,Ivory Coast,2,1993,1,0,24.0,44.0,30.0,25.0,42.0,162.0
132,31,Algeria,1,1993,1,0,19.0,28.0,22.0,27.0,5.0,106.0
133,30,Morocco,-2,1993,1,0,18.0,27.0,24.0,19.0,19.0,105.0
134,27,Egypt,2,1993,3,0,25.0,60.0,20.0,27.0,78.0,200.0
135,25,Zambia,-2,1993,0,0,17.0,26.0,20.0,21.0,12.0,98.0
136,22,Cameroon,-1,1993,2,0,20.0,45.0,30.0,16.0,55.0,165.0
137,40,Ghana,-2,1993,4,0,23.0,54.0,21.0,27.0,46.0,183.0
138,127,Mauritius,3,1993,0,0,1.0,0.0,0.0,3.0,-6.0,0.0
139,126,Benin,2,1993,0,0,4.0,0.0,5.0,9.0,-17.0,5.0
140,123,Burkina Faso,4,1993,0,0,12.0,9.0,16.0,23.0,-25.0,43.0
141,117,Sudan,2,1993,1,0,9.0,7.0,7.0,13.0,-13.0,28.0
142,116,Liberia,4,1993,0,0,2.0,1.0,2.0,2.0,-2.0,5.0
143,131,Guinea-Bissau,1,1993,0,0,3.0,0.0,3.0,6.0,-10.0,3.0
144,148,Libya,1,1993,0,0,3.0,3.0,5.0,3.0,-1.0,14.0
145,143,Mauritania,-1,1993,0,0,2.0,0.0,2.0,4.0,-10.0,2.0
146,142,Cape Verde,0,1993,0,0,3.0,2.0,6.0,3.0,-3.0,12.0
147,137,Botswana,1,1993,0,0,1.0,0.0,0.0,3.0,-7.0,0.0
148,90,Ethiopia,-2,1993,1,0,11.0,7.0,4.0,19.0,-36.0,25.0
149,86,Madagascar,3,1993,0,0,1.0,2.0,2.0,1.0,0.0,8.0
150,83,Sierra Leone,4,1993,0,0,3.0,1.0,3.0,4.0,-10.0,6.0
